id_transacao,categoria,data_vencimento,valor,recorrencia
5b2ff0bf,Salários,2023-01-19,15000.0,Mensal
db39b068,Aluguel/Infra,2023-01-11,5000.0,Mensal
dc19c68a,Software/SaaS,2023-01-21,2000.0,Mensal
75136907,Confraternização,2023-01-23,3170.11,Avulsa
e65f6224,Impostos,2023-01-15,4288.59,Avulsa
d933610e,Confraternização,2023-01-05,1868.37,Avulsa
7da0b749,Viagens,2023-01-09,1272.82,Avulsa
d1366770,Equipamentos,2023-01-10,2679.09,Avulsa
509e71c3,Marketing,2023-01-10,1751.28,Avulsa
450f76ec,Confraternização,2023-01-20,4802.96,Avulsa
241a112c,Equipamentos,2023-01-10,3703.15,Avulsa
51bb765e,Salários,2023-01-06,15300.0,Mensal
288093e0,Aluguel/Infra,2023-01-06,5050.0,Mensal
9ee27260,Software/SaaS,2023-01-27,2060.0,Mensal
81d8e85d,Equipamentos,2023-01-02,1570.57,Avulsa
31f1dadc,Viagens,2023-01-15,3085.36,Avulsa
3f64d611,Viagens,2023-01-07,2163.52,Avulsa
4685ab2e,Impostos,2023-01-22,3682.1,Avulsa
04cf2490,Viagens,2023-01-05,4901.1,Avulsa
fea19271,Salários,2023-03-12,15606.0,Mensal
81fc4061,Aluguel/Infra,2023-03-15,5100.5,Mensal
611b8029,Software/SaaS,2023-03-18,2121.8,Mensal
dbcff2bb,Impostos,2023-03-30,1857.02,Avulsa
23331b6e,Marketing,2023-03-16,3480.8,Avulsa
98fa62fa,Equipamentos,2023-03-30,4765.05,Avulsa
b54e58d9,Viagens,2023-03-24,1202.24,Avulsa
6aa8ffc1,Impostos,2023-03-11,4890.2,Avulsa
5d7e8abe,Salários,2023-04-21,15918.12,Mensal
75304f35,Aluguel/Infra,2023-04-23,5151.51,Mensal
c13ae129,Software/SaaS,2023-04-10,2185.45,Mensal
21f8fb13,Viagens,2023-04-25,4863.23,Avulsa
634d8de1,Impostos,2023-04-26,3500.99,Avulsa
efdf8348,Impostos,2023-04-30,3778.45,Avulsa
c13934d3,Confraternização,2023-04-04,2024.08,Avulsa
e630c53d,Confraternização,2023-04-05,4550.79,Avulsa
969cea65,Impostos,2023-04-01,1025.94,Avulsa
0b15816d,Confraternização,2023-04-08,3278.85,Avulsa
3ed1875a,Confraternização,2023-04-11,2108.27,Avulsa
b77cbd11,Marketing,2023-04-07,4855.02,Avulsa
29288f90,Impostos,2023-04-26,2868.95,Avulsa
4a497cda,Salários,2023-05-30,16236.48,Mensal
7530e29d,Aluguel/Infra,2023-05-25,5203.02,Mensal
f48f1bb7,Software/SaaS,2023-05-09,2251.02,Mensal
9a8d7ec6,Marketing,2023-05-28,1314.23,Avulsa
5f4ad672,Confraternização,2023-05-31,3546.79,Avulsa
3c66475a,Marketing,2023-05-13,7336.92,Avulsa
275d12af,Equipamentos,2023-05-20,2707.09,Avulsa
ea838eef,Impostos,2023-05-02,2802.0,Avulsa
d6bd1a9b,Viagens,2023-05-23,2289.01,Avulsa
